中國的詞彙,台灣對應詞
怎麼著,怎麼了
胳膊,手臂
程序,程式
過山車,雲霄飛車
衛生巾,衛生紙
概率,機率
出色地,完美地
回頭見,待會見
酸奶,優酪乳
項目,計畫
挺好的,不錯
治安官,警察
信息,訊息
攝製組,攝影團隊
確定性,保證
走運,幸運
郵遞員,郵差
屏幕,螢幕
保險槓,緩衝器
沒事兒,沒事
夥計,朋友
錄像,錄影
合同,合約
牛油果,酪梨
邦戈鼓,邦哥鼓
初中,國中
太陽鏡,太陽眼鏡
電飯煲,電鍋
創可貼,OK繃
包間,包廂
甲殼蟲,甲蟲
塑料,塑膠
俯臥撐,伏地挺身
出租車,計程車
發短信,發簡訊
短信,簡訊
電視演播室,電視攝影棚
蘇打水,汽水
互聯網,網路
宇航員,太空人
打印機,印表機
移動電話,行動電話
字段,字串
套頭衫,T恤
評委,評審
攝像頭,攝影機
計算機,電腦
信息素,外激素
計算機,電腦
虛擬仿真,虛擬實境
計算機,電腦
晚上好,晚安
擴音器,麥克風
火花塞,火星塞
馬蘇裡拉芝士,馬茲瑞拉起司
土豆,馬鈴薯
多動症,過動症
素數,質數
智能,智慧
倒計時,倒數
攝像機,攝影機
視頻,影片
同志,同學
單元,單位
圖像,圖片
橙子,柳橙
簡歷,履歷
地鐵,捷運
服務員,服務生
避孕套,保險套
烤寬麵條,千層麵
超聲波,超音波
錄像機,錄影機
公安,保全
西紅柿,番茄
晉升,升遷
曲奇,餅乾
塑料管,吸管
矢量,向量
打響指,彈手指
激光,雷射
保安室,保全室
公交車,公車
冰棍,冰棒
剃鬚刀,刮鬍刀
除塵器,吸塵器
易拉罐,易開罐
方便麵,泡麵
盒飯,便當
動畫片,卡通片
計算機,電腦
白班,早班
輸液,點滴
午夜餐,宵夜
高壓鍋,壓力鍋
被動吸菸,二手煙
電熱毯,電毯
打車,搭計程車
立交橋,交流道
軟件,軟體
廁紙,衛生紙
菠蘿,鳳梨
編碼,程式
本地,在地
移動電話,行動電話
保安,保全
圓珠筆,原子筆
評委,評審
群眾,民眾
紙盒裝,鋁箔包
塑料袋,塑膠袋
推遲,延後
跑地雞,土雞
洗面奶,洗面乳